File,Model,Gap,Slice_size,Count,Precision,Recall,F-score,True Count,Error Rate
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_250px_model400x50.ckpt,0,250,7000,0.453547469,0.989686148,0.622033249,2352,0.384142857
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_250px_model400x50.ckpt,5,250,5000,0.535226817,0.944395254,0.68323618,1940,0.349
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_250px_model400x50.ckpt,10,250,5000,0.533674963,0.903665663,0.671050036,1940,0.3494
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_250px_model400x50.ckpt,20,250,5000,0.541176471,0.847175491,0.6604542,1940,0.3596
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_250px_model400x50.ckpt,40,250,5000,0.480848013,0.831414911,0.609305042,1940,0.4186
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_250px_model400x50.ckpt,80,250,5000,0.41648299,0.769612183,0.54048004,1940,0.4876
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_250px_model400x50.ckpt,120,250,5000,0.432442971,0.785549849,0.557812009,1940,0.4784
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120506-ML475__002.jpg,/Users/il239838/Development/models/ML475__002_250px_model400x50.ckpt,0,250,7000,0.447320709106,0.985028279916,0.61524607765,2352,0.396
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120506-ML475__002.jpg,/Users/il239838/Development/models/ML475__002_250px_model400x50.ckpt,5,250,5000,0.499387889632,0.939082698778,0.652034919464,1940,0.3958
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120506-ML475__002.jpg,/Users/il239838/Development/models/ML475__002_250px_model400x50.ckpt,10,250,5000,0.505978477481,0.899238533735,0.647580182363,1940,0.3948
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120506-ML475__002.jpg,/Users/il239838/Development/models/ML475__002_250px_model400x50.ckpt,20,250,5000,0.50085947572,0.825571099699,0.623470411234,1940,0.4106
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120506-ML475__002.jpg,/Users/il239838/Development/models/ML475__002_250px_model400x50.ckpt,40,250,5000,0.452073963018,0.800956259961,0.577945310503,1940,0.4624
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120506-ML475__002.jpg,/Users/il239838/Development/models/ML475__002_250px_model400x50.ckpt,80,250,5000,0.454055114249,0.819904374004,0.584448371623,1940,0.4312
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120506-ML475__002.jpg,/Users/il239838/Development/models/ML475__002_250px_model400x50.ckpt,120,250,5000,0.430747922438,0.771028864884,0.55271342431,1940,0.4736
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120510-ML499__003.jpg,/Users/il239838/Development/models/ML499__003_250px_model400x50.ckpt,0,250,7000,0.472203193339,0.966041397154,0.634339716136,2482,0.361714285714
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120510-ML499__003.jpg,/Users/il239838/Development/models/ML499__003_250px_model400x50.ckpt,5,250,5000,0.518128202649,0.931513992699,0.66587972167,2037,0.3746
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120510-ML499__003.jpg,/Users/il239838/Development/models/ML499__003_250px_model400x50.ckpt,10,250,5000,0.511240465676,0.885451069007,0.648215308265,2037,0.3764
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120510-ML499__003.jpg,/Users/il239838/Development/models/ML499__003_250px_model400x50.ckpt,20,250,5000,0.492290411518,0.837997566487,0.620223851795,2037,0.4128
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120510-ML499__003.jpg,/Users/il239838/Development/models/ML499__003_250px_model400x50.ckpt,40,250,5000,0.44481981982,0.823917955849,0.577731732586,2037,0.473
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120510-ML499__003.jpg,/Users/il239838/Development/models/ML499__003_250px_model400x50.ckpt,80,250,5000,0.451096448671,0.808100121676,0.578989974469,2037,0.451
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120510-ML499__003.jpg,/Users/il239838/Development/models/ML499__003_250px_model400x50.ckpt,120,250,5000,0.432254995243,0.789674952199,0.558691508332,2037,0.4736
